,time,cpu%,mem%
440,20210108-100751,0.015,0.9873547345518164
441,20210108-100754,0.0,0.9873547345518164
442,20210108-100757,0.0,0.9873547345518164
443,20210108-100800,0.0,0.9873547345518164
444,20210108-100803,3.2299999999999995,1.0135050810681996
445,20210108-100806,0.1,1.0135111540701776
446,20210108-100809,0.0,1.0135111540701776
447,20210108-100812,0.0,1.0135111540701776
448,20210108-100815,0.0,1.0135111540701776
449,20210108-100818,0.015,1.0135111540701776
450,20210108-100821,0.015,1.0135111540701776
451,20210108-100824,0.0,1.0135111540701776
452,20210108-100827,0.015,1.0135111540701776
453,20210108-100830,0.0,1.0135111540701776
454,20210108-100833,0.0,1.0135111540701776
455,20210108-100836,0.0,1.0135111540701776
456,20210108-100839,0.015,1.0135111540701776
457,20210108-100842,0.0,1.0135111540701776
458,20210108-100845,0.0,1.0135111540701776
459,20210108-100848,0.0,1.0135111540701776
460,20210108-100851,0.0,1.0135111540701776
461,20210108-100854,0.015,1.0135111540701776
462,20210108-100857,0.0,1.0135111540701776
463,20210108-100900,0.0,1.0135111540701776
464,20210108-100903,0.0,1.0135111540701776
465,20210108-100906,0.034999999999999996,1.0135111540701776
466,20210108-100909,0.0,1.0135111540701776
467,20210108-100912,0.0,1.0135111540701776
468,20210108-100915,0.0,1.0135111540701776
469,20210108-100918,0.0,1.0135111540701776
470,20210108-100921,0.28500000000000003,1.0226145840348917
471,20210108-100924,0.0,1.0226145840348917
472,20210108-100927,0.0,1.0226145840348917
473,20210108-100930,0.015,1.0226145840348917
474,20210108-100933,0.0,1.0226145840348917
475,20210108-100936,0.0,1.0226145840348917
476,20210108-100939,0.0,1.0226145840348917
477,20210108-100942,0.0,1.0226145840348917
478,20210108-100945,0.0,1.0226145840348917
479,20210108-100948,0.015,1.0226145840348917
480,20210108-100951,0.015,1.0226145840348917
481,20210108-100954,0.0,1.0226145840348917
482,20210108-100957,0.0,1.0226145840348917
483,20210108-101000,0.0,1.0226145840348917
484,20210108-101003,0.0,1.0226145840348917
485,20210108-101006,0.015,1.0226145840348917
486,20210108-101009,0.0,1.0226145840348917
487,20210108-101012,0.0,1.0226145840348917
488,20210108-101015,0.0,1.0226145840348917
489,20210108-101018,0.015,1.0226145840348917
490,20210108-101021,0.0,1.0226145840348917
491,20210108-101024,0.0,1.0226145840348917
492,20210108-101027,0.0,1.0226145840348917
493,20210108-101030,0.015,1.0226145840348917
494,20210108-101033,0.0,1.0226145840348917
495,20210108-101036,0.0,1.0226145840348917
496,20210108-101039,0.0,1.0226145840348917
497,20210108-101042,0.015,1.0226145840348917
498,20210108-101045,0.0,1.0226145840348917
499,20210108-101048,0.0,1.0226145840348917
500,20210108-101051,0.0,1.0226145840348917
501,20210108-101054,0.0,1.0226145840348917
502,20210108-101057,0.015,1.0226145840348917
503,20210108-101100,0.015,1.0226145840348917
504,20210108-101103,0.0,1.0226145840348917
505,20210108-101106,0.0,1.0226145840348917
506,20210108-101109,0.0,1.0226145840348917
507,20210108-101112,0.0,1.0226145840348917
508,20210108-101115,0.015,1.0226145840348917
509,20210108-101118,0.0,1.0226145840348917
510,20210108-101121,0.0,1.0226145840348917
511,20210108-101124,0.0,1.0226145840348917
512,20210108-101127,0.015,1.0226145840348917
513,20210108-101130,0.0,1.0226145840348917
514,20210108-101133,0.0,1.0226145840348917
515,20210108-101136,0.0,1.0226145840348917
516,20210108-101139,0.0,1.0226145840348917
517,20210108-101142,0.015,1.0226145840348917
518,20210108-101145,0.0,1.0226145840348917
519,20210108-101148,0.0,1.0226145840348917
520,20210108-101151,0.015,1.0226145840348917
521,20210108-101154,0.0,1.0226145840348917
522,20210108-101157,0.015,1.0226145840348917
523,20210108-101200,0.0,1.0226145840348917
524,20210108-101203,0.015,1.0226145840348917
525,20210108-101206,0.0,1.0226145840348917
526,20210108-101209,0.0,1.0226145840348917
527,20210108-101212,0.0,1.0226145840348917
528,20210108-101215,0.015,1.0226145840348917
529,20210108-101218,0.0,1.0226145840348917
530,20210108-101221,0.0,1.0226145840348917
531,20210108-101224,0.0,1.0226145840348917
532,20210108-101227,0.0,1.0226145840348917
533,20210108-101230,0.0,1.0226145840348917
534,20210108-101233,0.0,1.0226145840348917
535,20210108-101236,0.015,1.0226145840348917
536,20210108-101239,0.015,1.0226145840348917
537,20210108-101242,0.0,1.0226145840348917
538,20210108-101245,0.0,1.0226145840348917
539,20210108-101248,0.0,1.0226145840348917
540,20210108-101251,0.015,1.0226145840348917
541,20210108-101254,0.0,1.0226145840348917
542,20210108-101257,0.0,1.0226145840348917
543,20210108-101300,0.0,1.0226145840348917
544,20210108-101303,0.0,1.0226145840348917
545,20210108-101306,0.015,1.0226145840348917
546,20210108-101309,0.0,1.0226145840348917
547,20210108-101312,0.0,1.0226145840348917
548,20210108-101315,3.3600000000000003,0.9801643002101076
