,requests
1977,1338300
1978,1158525
1979,907650
1980,808650
1981,578925
1982,1017450
1983,751950
1984,189675
1985,955350
1986,858600
1987,675450
1988,883350
1989,1160550
1990,1093950
1991,1124325
1992,1075500
1993,868950
1994,430875
1995,812700
1996,1174725
1997,1292625
1998,1334250
1999,1223775
2000,1254375
2001,1201275
2002,1100700
2003,1133325
2004,1413900
2005,1332675
2006,1259100
2007,1365750
2008,1203975
2009,1234125
2010,1220175
2011,1401975
2012,1294650
2013,1224450
2014,1322325
2015,1509525
2016,1245600
2017,1124550
2018,1006425
2019,1357875
2020,1401300
2021,1424025
2022,1595700
2023,1487700
2024,1838475
2025,1835100
2026,1692675
2027,1556775
2028,1579500
2029,1570275
2030,1546425
2031,1561500
2032,1604700
2033,1638900
2034,1500750
2035,1516050
2036,1515825
2037,1577025
2038,1608975
2039,1485900
2040,1540350
2041,1646775
2042,1561950
2043,1585575
2044,1528650
2045,1538325
2046,1432575
2047,1417725
2048,1330425
2049,1468125
2050,1501425
2051,1402200
2052,1345275
2053,1298250
2054,1287000
2055,1299600
2056,1132200
2057,1283625
2058,1204425
2059,1174275
2060,1164150
2061,1343475
2062,1491750
2063,1320750
2064,1475325
2065,1320525
2066,1398600
2067,1373175
2068,1189125
2069,1306350
2070,1162350
2071,1155150
2072,1162350
2073,1178325
2074,1322775
2075,1255950
2076,1192050
2077,1276425
2078,1180350
2079,1263825
2080,1202625
2081,1148625
2082,1360350
2083,1289025
2084,1325925
2085,1420650
2086,1544400
2087,1413000
2088,1339650
2089,1399950
2090,1381725
2091,1412100
2092,1307025
2093,1177875
2094,1360350
2095,1523700
2096,1334250
2097,1380150
2098,1441350
2099,1228500
2100,1228275
2101,1172700
2102,1111725
2103,1211400
2104,1104750
2105,1154925
2106,1211400
2107,1193400
2108,1201275
2109,1115325
2110,1262475
2111,1233000
2112,1387575
2113,1246275
2114,1154925
2115,1098675
2116,1179450
2117,1218150
2118,1157400
2119,1203525
2120,1160775
2121,1061550
2122,1278225
2123,1089225
2124,1275975
2125,1139850
2126,1140975
2127,1244025
2128,1201500
2129,1237275
2130,1138950
2131,1152675
2132,1333800
2133,1230525
2134,1296675
2135,1210500
2136,1282275
2137,1096875
2138,1040850
2139,1021050
2140,1047825
2141,1003725
2142,631125
2143,810675
2144,918000
2145,1237275
2146,1181250
2147,1063800
2148,1180125
2149,925650
2150,1034100
2151,936675
2152,920475
2153,1002600
2154,1012050
2155,1149750
2156,739575
2157,1367550
2158,1361700
2159,1133550
2160,1274625
2161,1206450
2162,1089000
2163,1082700
2164,1161675
2165,1241550
2166,1098225
2167,1134000
2168,1168425
2169,1296675
2170,1279350
2171,1455975
2172,1337625
2173,1383975
2174,1274400
2175,1628550
2176,1491525
2177,1466550
2178,1418175
2179,1366875
2180,1332450
2181,1475550
2182,1435275
2183,1404900
2184,1406700
2185,1423350
2186,1267650
2187,1222425
2188,1276425
2189,1378350
2190,1386675
2191,1508400
2192,1361250
2193,1324350
2194,1247175
2195,1266750
2196,1297575
2197,1241550
2198,1277100
2199,1233675
2200,1303875
2201,1312875
2202,1273950
2203,1329075
2204,1365975
2205,1291725
2206,1376775
2207,1402875
2208,1389150
2209,1427400
2210,1334925
2211,1424250
2212,1485225
2213,1498275
2214,1442025
2215,1417275
2216,1363725
2217,1455750
2218,1508625
2219,1389600
2220,1382850
2221,1320300
2222,1211400
2223,1217025
2224,1294650
2225,1264500
2226,1227600
2227,1200150
2228,1237275
2229,1243800
2230,1288125
2231,1266525
2232,1298700
2233,1371150
2234,1254600
2235,1165725
2236,1133100
2237,1217700
2238,1086525
2239,1107450
2240,1150875
